date,3M,6M,9M,1Y,2Y,3Y,5Y,7Y,10Y,15Y,20Y
2026-08-17,3.756,3.775,3.795,3.814,3.888,3.96,4.092,4.212,4.368,4.564,4.682
2026-08-18,3.726,3.748,3.77,3.792,3.877,3.957,4.104,4.234,4.397,4.586,4.677
2026-08-19,3.762,3.782,3.801,3.82,3.895,3.966,4.098,4.216,4.369,4.559,4.671
2026-08-20,3.756,3.777,3.798,3.818,3.895,3.968,4.101,4.219,4.368,4.551,4.665
2026-08-21,3.78,3.798,3.815,3.833,3.901,3.966,4.087,4.197,4.341,4.532,4.666
2026-08-24,3.792,3.81,3.827,3.844,3.911,3.975,4.095,4.206,4.352,4.545,4.676
2026-08-25,3.781,3.8,3.819,3.838,3.911,3.98,4.107,4.219,4.363,4.544,4.662
2026-08-26,3.812,3.828,3.844,3.859,3.921,3.98,4.092,4.195,4.336,4.529,4.672
2026-08-27,3.865,3.826,3.803,3.792,3.826,3.918,4.121,4.28,4.433,4.565,4.633
2026-08-28,3.82,3.837,3.853,3.869,3.933,3.995,4.11,4.215,4.354,4.536,4.657
2026-08-31,3.82,3.837,3.853,3.869,3.933,3.995,4.11,4.215,4.354,4.536,4.657
2026-09-01,3.82,3.837,3.853,3.869,3.933,3.995,4.11,4.215,4.354,4.536,4.657
2026-09-02,3.82,3.837,3.853,3.869,3.933,3.995,4.11,4.215,4.354,4.536,4.657
2026-09-03,3.835,3.796,3.777,3.773,3.837,3.945,4.136,4.266,4.393,4.53,4.628
2026-09-04,3.769,3.788,3.807,3.826,3.9,3.97,4.1,4.216,4.367,4.555,4.668
